id_client,numero_client,nom,prenom,sexe,date_naissance,email,telephone,adresse,ville,code_postal,date_creation_client,statut_client,id_foyer,id_conseiller
1,C0001,Legros,Charles,F,1961-12-17,xperrier@example.net,+33 (0)5 19 70 54 66,"893, chemin Nguyen",Leroynec,43784,2024-05-11,actif,4,6
2,C0002,Lebon,Monique,F,1959-07-16,nrodriguez@example.net,+33 (0)5 36 99 01 62,"50, chemin Marcel De Sousa",Marques,97258,2022-05-10,inactif,25,9
3,C0003,De Oliveira,Philippe,F,1998-05-22,vmoreau@example.net,+33 (0)4 88 31 00 33,rue de Dupuis,Reynaud,85217,2023-10-14,actif,28,18
4,C0004,Carpentier,Chantal,M,1990-07-14,jacques99@example.net,+33 (0)3 10 41 90 49,"46, boulevard Blot",Henry,89891,2022-06-21,actif,13,10
5,C0005,Pottier,Joséphine,M,1996-09-07,perrotelisabeth@example.com,0218850671,"37, rue Nath Barbe",Chauvet,68893,2023-05-20,inactif,38,18
6,C0006,Nguyen,Valérie,F,1992-05-13,tristan31@example.com,03 81 79 96 50,"82, chemin Poirier",Guyot,76818,2025-05-13,actif,4,2
7,C0007,Berthelot,Alain,M,1979-12-06,emileguillot@example.net,07 58 37 77 01,"46, boulevard Alexandrie Reynaud",Laporteboeuf,54863,2023-09-19,actif,4,17
8,C0008,Benard,Martine,M,1976-04-13,philippe31@example.net,+33 4 70 18 23 37,"589, rue Collet",Alves,22409,2021-01-12,actif,5,20
9,C0009,Joubert,Gilbert,M,1965-11-16,lenoirstephane@example.net,+33 7 61 09 47 77,"50, rue Valentine François",MarinBourg,73744,2024-05-25,actif,26,4
10,C0010,Fernandes,Henri,F,1997-01-04,emile31@example.net,03 69 86 77 49,"19, rue de Ledoux",Toussaint,27370,2024-04-07,inactif,40,3
11,C0011,Barbier,Olivier,F,1960-01-18,barbieradrien@example.com,06 44 03 44 71,"44, rue Émilie Jean",Da Costa,19173,2021-04-05,actif,17,7
12,C0012,Le Gall,Jeannine,M,1993-05-27,brigitte17@example.net,0549488771,"7, chemin de Texier",Michel,12334,2025-10-10,inactif,17,13
13,C0013,Bruneau,Jacqueline,M,2005-02-09,hortense02@example.com,04 30 29 67 17,"65, rue de Renard",Bouchet,88607,2022-05-28,actif,30,11
14,C0014,Maréchal,Sylvie,M,1994-01-27,de-sousaemmanuel@example.com,0474168087,"4, chemin de Loiseau",Toussaintdan,97216,2021-12-24,actif,30,20
15,C0015,Dias,Gilles,F,2003-10-08,frocher@example.org,+33 (0)3 79 24 80 86,rue Pinto,Saint Colette-la-Forêt,65822,2022-05-01,actif,35,7
16,C0016,Guillet,Charlotte,M,1964-02-07,aliceaubert@example.net,+33 2 18 46 58 40,"89, avenue Tanguy",Barreboeuf,70881,2023-09-06,inactif,23,3
17,C0017,Pineau,Tristan,F,2000-05-26,henriettejacob@example.org,01 73 57 66 27,boulevard Maury,Roussel,56202,2023-08-05,inactif,19,6
18,C0018,Pineau,Alexandre,M,1991-11-13,jbegue@example.org,04 13 59 61 58,"97, boulevard Muller",Lefort,87394,2025-12-14,inactif,40,17
19,C0019,Letellier,Éric,M,1975-02-19,samsonluce@example.net,+33 (0)5 96 24 00 50,"75, rue Laporte",Moreno-les-Bains,21279,2021-05-11,inactif,43,4
20,C0020,Weber,Laure,M,1989-08-02,jguillon@example.org,03 87 74 07 48,"8, boulevard Théophile Riou",Blot-la-Forêt,58965,2022-06-22,inactif,8,4
21,C0021,Jacob,Dominique,M,1977-12-28,alexmasse@example.com,0450064090,"44, chemin de Vasseur",Legendre,32794,2024-09-28,inactif,19,20
22,C0022,Gosselin,Margaux,F,1989-06-15,lorrainepereira@example.net,+33 (0)4 67 70 95 21,"36, rue Gimenez",Laporte,64379,2025-02-12,inactif,14,9
23,C0023,Boucher,Valérie,F,2004-09-22,oceane51@example.com,+33 (0)2 72 36 85 16,boulevard Gérard De Sousa,Maillet,95788,2022-04-10,inactif,4,3
24,C0024,Weber,Valentine,F,1987-01-01,franck37@example.org,0367174612,chemin Teixeira,Saint Noël-les-Bains,49564,2022-10-26,actif,3,1
25,C0025,Bernier,Marthe,M,2004-10-30,vcoste@example.net,+33 5 58 17 96 40,"83, rue Dominique Étienne",Sainte Émilieboeuf,08507,2022-05-06,inactif,41,9
26,C0026,Rivière,Claude,M,1997-10-07,dupremarcel@example.net,+33 (0)1 76 53 29 31,"49, chemin Becker",Godard,01383,2025-04-04,actif,36,14
27,C0027,Rodrigues,Gilles,M,1981-04-18,fredericpeltier@example.org,+33 1 44 53 95 02,"3, avenue de Laine",Saint Christelledan,97456,2023-07-13,inactif,5,5
28,C0028,Nicolas,Catherine,M,1979-03-10,petitjeansabine@example.net,0633007661,"21, boulevard William François",Paris,79748,2023-11-22,inactif,38,18
29,C0029,Mendès,Victor,F,1972-01-22,cecile89@example.com,+33 (0)2 48 83 67 36,"76, rue de Bouvier",Bouvier-la-Forêt,47256,2024-05-25,inactif,9,2
30,C0030,Reynaud,Daniel,M,1955-04-04,morinaurore@example.org,0256809885,"7, avenue Michelle Roux",Brunel,39460,2021-06-25,actif,3,12
31,C0031,Guillou,Marcel,F,1958-12-09,ghubert@example.com,0248493689,"509, rue Maillard",Maillot,44106,2021-11-14,inactif,43,4
32,C0032,Meunier,Geneviève,M,1988-02-03,blanchardnicole@example.net,+33 (0)2 34 83 66 75,"64, boulevard de Clément",Saint Hugues,97189,2021-03-18,actif,40,5
33,C0033,Faure,Richard,M,1975-08-31,mvallee@example.com,04 23 38 15 61,"578, rue Delaunay",Lefèvre-sur-Robert,26408,2025-09-10,actif,12,14
34,C0034,Gosselin,Guillaume,F,1994-04-14,victor10@example.com,03 25 26 83 88,"71, rue de Nguyen",Sainte Denis,40689,2023-02-10,actif,48,11
35,C0035,Lebon,Mathilde,M,1987-02-03,gabriel60@example.com,+33 6 34 51 61 36,"28, chemin Noémi Maillot",Le Roux,97431,2021-05-06,inactif,18,6
36,C0036,Couturier,Gabriel,M,1980-09-27,philippineleveque@example.com,+33 3 75 12 43 29,"3, avenue de Barthelemy",Samson-sur-Delorme,57797,2025-08-02,actif,3,16
37,C0037,Moreno,Lucy,F,1986-10-24,lorraine52@example.com,+33 (0)6 47 44 90 58,avenue Catherine Morel,Sainte Véronique,36178,2024-03-09,actif,30,12
38,C0038,Robin,Laetitia,M,1984-06-02,lpinto@example.net,+33 (0)6 29 35 97 82,rue Suzanne Le Goff,Saint Augustin-sur-Mer,90548,2025-12-02,inactif,15,1
39,C0039,Hardy,Dorothée,M,1985-05-02,alix46@example.com,0177515186,"39, rue Isabelle Dupré",Marty,39771,2024-06-16,inactif,22,9
40,C0040,Michaud,Gilles,F,1984-06-23,ruizgabrielle@example.com,0255816850,"42, avenue Léon Jean",Meyer,10402,2025-03-09,inactif,23,17
41,C0041,Roussel,Corinne,F,1994-09-04,peltieryves@example.net,+33 5 17 22 29 27,chemin Margaret Fouquet,Hebert,78391,2024-09-22,actif,2,4
42,C0042,Pons,Nicolas,M,1980-12-08,suzanne73@example.com,06 35 46 88 62,"124, avenue de Guichard",HenryBourg,36185,2024-10-12,actif,38,9
43,C0043,Maillard,Catherine,F,2002-06-22,veroniquenguyen@example.org,+33 6 25 06 06 85,"61, rue Julien",Sainte Sophie-les-Bains,18139,2022-05-26,inactif,39,14
44,C0044,Georges,Marthe,M,1998-03-03,npons@example.org,+33 (0)1 46 43 28 98,"5, chemin Rivière",Saint Astrid,81912,2024-01-29,inactif,28,20
45,C0045,Andre,Frédéric,F,1998-06-29,igodard@example.org,+33 2 76 46 09 53,"22, chemin de Mercier",DevauxVille,49994,2023-04-25,actif,37,7
46,C0046,Bousquet,Amélie,M,2006-11-12,oceane05@example.org,0380195205,"82, avenue de Lefort",Dufour,09833,2024-11-05,actif,46,14
47,C0047,Albert,Auguste,M,1966-12-26,bourgeoisaugustin@example.com,0545874034,"6, rue Susanne Tessier",Alexandredan,49447,2025-10-31,inactif,24,14
