id_conseiller,nom,prenom,email,telephone,id_agence
1,Regnier,Caroline,audreyvidal@example.com,03 84 17 81 08,2
2,Garcia,Éric,jacquescordier@example.com,03 63 60 26 06,1
3,Aubry,Sabine,brenault@example.net,02 96 34 30 98,5
4,Bonnet,Océane,bertrand09@example.com,+33 1 80 81 21 91,4
5,Parent,Noël,kmathieu@example.org,+33 (0)2 29 69 98 54,4
6,Martins,Marguerite,olivier46@example.org,0633510799,3
7,Roussel,David,corinneaubry@example.org,0218354278,2
8,Fischer,Thibaut,martineautherese@example.net,0243241182,9
9,Maillard,Roland,michellele-goff@example.org,0754016400,2
10,Le Roux,Pénélope,luciecharles@example.org,05 65 80 11 28,10
11,Da Silva,Victoire,isabelle82@example.com,+33 1 72 45 05 33,7
12,Martineau,François,renee86@example.net,+33 3 76 22 60 25,1
13,Bouchet,Suzanne,reneleroux@example.net,+33 (0)5 24 07 33 75,1
14,Schneider,Valentine,mauricelaurent@example.net,+33 5 46 54 14 58,2
15,Alexandre,Margaret,antoine14@example.org,0169196556,4
16,Seguin,Danielle,collinhortense@example.org,0173608835,4
17,Perret,Daniel,laurence51@example.net,0467656482,9
18,Olivier,Astrid,vlabbe@example.org,0553804436,10
19,Delorme,Julie,chantal77@example.net,+33 6 62 14 89 51,1
20,Hamel,Noël,maurice32@example.org,+33 (0)3 82 79 17 69,9
